"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-01","1990","001","Micrograms/cubic meter (25 C)","None","","1","100.0000","","46","","46","0","43","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-02","1990","002","Micrograms/cubic meter (25 C)","None","","1","100.0000","","23","","23","0","21","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-03","1990","003","Micrograms/cubic meter (25 C)","None","","1","100.0000","","28","","28","0","26","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-04","1990","004","Micrograms/cubic meter (25 C)","None","","1","100.0000","","44","","44","0","41","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-05","1990","005","Micrograms/cubic meter (25 C)","None","","1","100.0000","","54","","54","0","50","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-06","1990","006","Micrograms/cubic meter (25 C)","None","","1","100.0000","","116","","116","0","81","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-07","1990","007","Micrograms/cubic meter (25 C)","None","","1","100.0000","","114","","114","0","80","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-08","1990","008","Micrograms/cubic meter (25 C)","None","","1","100.0000","","17","","17","0","16","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-09","1990","009","Micrograms/cubic meter (25 C)","None","","1","100.0000","","72","","72","0","59","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-10","1990","010","Micrograms/cubic meter (25 C)","None","","1","100.0000","","92","","92","0","69","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-11","1990","011","Micrograms/cubic meter (25 C)","None","","1","100.0000","","68","","68","0","57","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-12","1990","012","Micrograms/cubic meter (25 C)","None","","1","100.0000","","67","","67","0","57","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-13","1990","013","Micrograms/cubic meter (25 C)","None","","1","100.0000","","13","","13","0","12","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-14","1990","014","Micrograms/cubic meter (25 C)","None","","1","100.0000","","10","","10","0","9","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-15","1990","015","Micrograms/cubic meter (25 C)","None","","1","100.0000","","22","","22","0","20","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-16","1990","016","Micrograms/cubic meter (25 C)","None","","1","100.0000","","15","","15","0","14","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-17","1990","017","Micrograms/cubic meter (25 C)","None","","1","100.0000","","34","","34","0","31","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-18","1990","018","Micrograms/cubic meter (25 C)","None","","1","100.0000","","46","","46","0","43","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-19","1990","019","Micrograms/cubic meter (25 C)","None","","1","100.0000","","50","","50","0","46","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-20","1990","020","Micrograms/cubic meter (25 C)","None","","1","100.0000","","60","","60","0","53","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-21","1990","021","Micrograms/cubic meter (25 C)","None","","1","100.0000","","71","","71","0","59","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-22","1990","022","Micrograms/cubic meter (25 C)","None","","1","100.0000","","76","","76","0","61","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-23","1990","023","Micrograms/cubic meter (25 C)","None","","1","100.0000","","78","","78","0","62","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-24","1990","024","Micrograms/cubic meter (25 C)","None","","1","100.0000","","27","","27","0","25","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-25","1990","025","Micrograms/cubic meter (25 C)","None","","1","100.0000","","42","","42","0","39","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-26","1990","026","Micrograms/cubic meter (25 C)","None","","1","100.0000","","29","","29","0","27","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-27","1990","027","Micrograms/cubic meter (25 C)","None","","1","100.0000","","16","","16","0","15","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-28","1990","028","Micrograms/cubic meter (25 C)","None","","1","100.0000","","11","","11","0","10","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-29","1990","029","Micrograms/cubic meter (25 C)","None","","1","100.0000","","31","","31","0","29","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
"49","049","4001","81102","2","40.341389","-111.713611","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","1990-01-30","1990","030","Micrograms/cubic meter (25 C)","None","","1","100.0000","","33","","33","0","31","Y","","Utah","Utah","Lindon","Lindon","30 NORTH MAIN STREET, LINDON, UTAH","Provo-Orem, UT","AQS Data Mart"
